loan_id,date,customer_age,total_paid,total_due_today,balance,days_past_due,closing_balance,advance,balance_due_to_date,arrears,balance_due_status,payment,expected_payment,first_payment,first_expected_payment,account_status_l1,account_status_l2,return_date,sale_date,credit_check_done,payment_amount,adjustment_amount,prepayment_amount,deposit,weekly_rate,credit_expiry,next_invoice_date,discount,overpayment_amount,max_payment_date,initial_pay,total_paid_with_adjustments_15d
recm31ch9AAOsBrDA,3/31/2025,4,10499,10499.0,72420.0,0,72420.0,0.0,0.0,0.0,up to date,0,0.0,0,0,New Active,Active,None,3/27/2025,Y LOAN,,,0,9079.0,1420.0,4/3/2025,4/3/2025,0.0,0.0,12/25/2025,10499,10499
recFYO32SDNu6UGtm,3/31/2025,112,76039,81489.0,98900.0,14,98900.0,0.0,-5450.0,5450.0,Arrears,0,2670.0,0,0,Inactive 08-14,PAR 7,None,12/9/2024,Y LOAN,,,0,36099.0,2670.0,3/17/2025,4/7/2025,0.0,0.0,12/28/2025,38769,76039
rec1hL3AUxzUYBYaf,3/31/2025,102,6439,18699.0,44820.0,95,44820.0,0.0,-12260.0,12260.0,Arrears,0,0.0,0,0,First Payment Default,FPD,None,12/19/2024,Y LOAN,,,0,5499.0,880.0,12/26/2024,4/3/2025,0.0,0.0,12/30/2024,6379,6439
recqPcT5X5QSagrBp,3/31/2025,202,28184,23619.0,11075.0,0,0.0,4565.0,4565.0,0.0,advance,0,0.0,0,0,Existing Active,Active,None,9/10/2024,Y LOAN,,,0,3899.0,680.0,5/13/2025,4/1/2025,0.0,0.0,7/1/2025,4579,28184
recPDaSWYFLT0tdxw,3/31/2025,115,15099,21439.0,38540.0,45,38540.0,0.0,-6340.0,6340.0,Arrears,0,0.0,0,0,Blocked 31-60,PAR 30,None,12/6/2024,Y LOAN,,,0,5799.0,920.0,2/14/2025,4/4/2025,0.0,0.0,2/14/2025,6719,15099
reczWbJmW6BhdzHgK,3/31/2025,422,21529,45559.0,24030.0,275,24030.0,0.0,-24030.0,24030.0,Arrears,0,0.0,0,0,Cancelled Returned past 3 mths,Return,9/1/2024,2/3/2024,Y LOAN,,,0,4999.0,780.0,6/29/2024,4/5/2025,0.0,0.0,6/22/2024,5779,21529
reccfgvFTbR20JeIa,3/31/2025,355,44500,44499.0,0.0,0,0.0,1.0,1.0,0.0,advance,0,0.0,0,0,Paid Off Cash,Paid Off,None,4/10/2024,Y CASH,,,0,7499.0,1180.0,4/17/2024,4/2/2025,0.0,0.0,4/10/2024,44499,44500
recACWnGWaEcuAx35,3/31/2025,371,66159,66259.0,0.0,0,0.0,0.0,-100.0,100.0,Arrears,0,0.0,0,0,Paid Off Loan,Paid Off,None,3/25/2024,Y LOAN,,,0,7499.0,1130.0,3/17/2025,4/7/2025,100.0,0.0,3/17/2025,8629,66159
recB1gXhyaF0yJcTW,3/31/2025,91,25579,26579.0,45460.0,0,45460.0,0.0,-1000.0,1000.0,Arrears,170,1170.0,0,0,Existing Active,Active,None,12/30/2024,Y LOAN,170.0,0.0,0,10199.0,1170.0,3/31/2025,4/7/2025,0.0,0.0,12/29/2025,11369,25579
recYruSdzT1XgClx1,3/31/2025,352,46719,65129.0,19540.0,0,0.0,0.0,-18410.0,18410.0,Arrears,0,0.0,0,0,Existing Active,Active,None,4/13/2024,Y LOAN,,,0,7499.0,1130.0,12/7/2024,4/5/2025,0.0,0.0,10/10/2025,8629,46719
rec0B7vXTfb8LJn7F,3/31/2025,82,35989,46369.0,76830.0,0,0.0,1970.0,1970.0,0.0,advance,0,0.0,0,0,Existing Active,Active,None,1/8/2025,Y LOAN,,,0,22729.0,1970.0,4/9/2025,4/2/2025,0.0,0.0,11/3/2025,24699,48339
recsAnHE6xxe6BOX9,3/31/2025,86,25899,33319.0,60060.0,0,60060.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Existing Active,Active,None,1/4/2025,Y LOAN,,,0,13299.0,1540.0,4/5/2025,4/5/2025,0.0,0.0,10/9/2025,14839,33319
recm25hDyzq2GCKEo,3/31/2025,453,56239,56339.0,0.0,0,0.0,0.0,-100.0,100.0,Arrears,0,0.0,0,0,Paid Off Loan,Paid Off,None,1/3/2024,Y LOAN,,,0,8499.0,920.0,12/25/2024,4/2/2025,100.0,0.0,12/25/2024,9419,56239
reckY8NIdO7idWdys,3/31/2025,14,15239,15239.0,79380.0,0,79380.0,0.0,0.0,0.0,up to date,0,1620.0,0,0,New Active,Active,None,3/17/2025,Y LOAN,,,0,10379.0,1620.0,4/7/2025,4/7/2025,0.0,0.0,11/1/2025,11999,15239
